date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:30:11	97192/97192	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Sep%202022%2005:44:48%20GMT	https://expresscourierlimited.com/about-us/careers/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/about-us/careers/index.html	(from https://expresscourierlimited.com/)
21:30:12	116636/116636	---M-Z	200	added ('OK')	text/html	date:Thu,%2020%20Jul%202023%2008:52:36%20GMT	https://expresscourierlimited.com/contact-us/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/contact-us/index.html	(from https://expresscourierlimited.com/)
21:30:12	110357/110357	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Sep%202022%2006:17:17%20GMT	https://expresscourierlimited.com/wp-content/uploads/2020/11/omni_logistics_logo_tagline-1.png	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/wp-content/uploads/2020/11/omni_logistics_logo_tagline-1.png	(from https://expresscourierlimited.com/)
21:30:13	115251/115251	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Sep%202022%2005:44:48%20GMT	https://expresscourierlimited.com/resources/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/resources/index.html	(from https://expresscourierlimited.com/)
21:30:13	7014/7014	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20Jun%202021%2005:52:10%20GMT	https://expresscourierlimited.com/wp-content/uploads/2020/02/freight-forwarding-drop-down-199x93.jpg	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/wp-content/uploads/2020/02/freight-forwarding-drop-down-199x93.jpg	(from https://expresscourierlimited.com/)
21:30:13	8986/8986	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20Jun%202021%2005:52:10%20GMT	https://expresscourierlimited.com/wp-content/uploads/2020/02/warehouse-and-distribution-dropdown-199x93.jpg	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/wp-content/uploads/2020/02/warehouse-and-distribution-dropdown-199x93.jpg	(from https://expresscourierlimited.com/)
21:30:13	9447/9447	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20Jun%202021%2005:52:10%20GMT	https://expresscourierlimited.com/wp-content/uploads/2020/02/specialized-services-dropdown-199x93.jpg	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/wp-content/uploads/2020/02/specialized-services-dropdown-199x93.jpg	(from https://expresscourierlimited.com/)
21:30:13	20443/20443	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20Jun%202021%2005:52:10%20GMT	https://expresscourierlimited.com/wp-content/uploads/2019/05/dropdown4-new.jpg	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/wp-content/uploads/2019/05/dropdown4-new.jpg	(from https://expresscourierlimited.com/)
21:30:13	9809/9809	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20Jun%202021%2005:52:10%20GMT	https://expresscourierlimited.com/wp-content/uploads/2020/02/Technology-drop-down-199x93.jpg	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/wp-content/uploads/2020/02/Technology-drop-down-199x93.jpg	(from https://expresscourierlimited.com/)
21:30:14	8843/8843	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20Jun%202021%2005:52:10%20GMT	https://expresscourierlimited.com/wp-content/uploads/2020/02/semiconductor-logistics-drop-down-199x93.jpg	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/wp-content/uploads/2020/02/semiconductor-logistics-drop-down-199x93.jpg	(from https://expresscourierlimited.com/)
21:30:14	12114/12114	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20Jun%202021%2005:52:10%20GMT	https://expresscourierlimited.com/wp-content/uploads/2020/02/hi-tech-logistics-drop-down-199x93.jpg	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/wp-content/uploads/2020/02/hi-tech-logistics-drop-down-199x93.jpg	(from https://expresscourierlimited.com/)
21:30:14	7126/7126	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20Jun%202021%2005:52:10%20GMT	https://expresscourierlimited.com/wp-content/uploads/2020/02/medical-device-drop-down-199x93.jpg	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/wp-content/uploads/2020/02/medical-device-drop-down-199x93.jpg	(from https://expresscourierlimited.com/)
21:30:14	42279/42279	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Jun%202021%2005:52:10%20GMT	https://expresscourierlimited.com/wp-content/uploads/2019/05/shutterstock_691541095.png	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/wp-content/uploads/2019/05/shutterstock_691541095.png	(from https://expresscourierlimited.com/)
21:30:14	13648/13648	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20Jun%202021%2005:52:10%20GMT	https://expresscourierlimited.com/wp-content/uploads/2020/02/e-commerce-drop-down-199x93.jpg	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/wp-content/uploads/2020/02/e-commerce-drop-down-199x93.jpg	(from https://expresscourierlimited.com/)
21:30:15	9070/9070	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20Jun%202021%2005:52:10%20GMT	https://expresscourierlimited.com/wp-content/uploads/2020/02/retail-logistics-drop-down-199x93.jpg	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/wp-content/uploads/2020/02/retail-logistics-drop-down-199x93.jpg	(from https://expresscourierlimited.com/)
21:30:15	9594/9594	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20Jun%202021%2005:52:10%20GMT	https://expresscourierlimited.com/wp-content/uploads/2020/02/aviation-aerospace-drop-down-199x93.jpg	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/wp-content/uploads/2020/02/aviation-aerospace-drop-down-199x93.jpg	(from https://expresscourierlimited.com/)
